player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,season,matches_played,minutes_total,minutes_avg,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,age,height_cm,weight_kg,nationality,axis_consistency,n_matches_consistency,_h_global_norm,_w_global_norm,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_pow,axis_gabarit,kick_points_per80,form_score,form_trend,form_matches,form_scores_list,axis_disc,age_factor,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,intl_bonus,meters_run_intl,clean_breaks_intl,defenders_beaten_intl,passes_intl,runs_intl,lineouts_won_intl,missed_tackles_intl,tackles_intl,turnovers_conceded_intl,penalties_conceded_intl,offloads_intl
lnr_1892,1892,guillaume-ducat,https://cdn.lnr.fr/joueur/1892-guillaume-ducat/photo/photoFull.bf7e6b3668f1d7c40821cbfca4c5f267bcf81dfe,G. Ducat,Pau,PAU,LOCK,2ème ligne,2023-2024,21,900.0,42.9,11.02,,,0.09,,,,0.0,0.44,,,0.0,,,,,lnr,27.0,,115.0,France,97.0,14.0,0.0,89.84375,55.8,56.2,1.0,0,38,5,44,36,13,,25.2,→,5,"[32.1, 39.2, 47.8, 13.7, 22.8]",100,2.61,2ème Ligne,2L,100,Haute,False,Bonne,False,33,23.8,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lnr_1850,1850,siate-folau-tokolahi,https://cdn.lnr.fr/joueur/1850-siate-folau-tokolahi/photo/photoFull.bf4a801945c52387138b3325d9dd3bcf510292ab,S. Tokolahi,Pau,PAU,FRONT_ROW,1ère ligne,2023-2024,21,912.0,43.4,11.67,,,0.0,,,,0.0,0.0,,,0.44,,,,,lnr,32.0,179.0,123.0,Tonga,95.5,9.0,91.7948717948718,96.09375,68.6,69.3,1.0,0,0,18,62,30,93,,51.4,↘,5,"[15.8, 87.1, 20.7, 45.4, 90.5]",100,1.26,1ère Ligne,1L,100,Haute,False,Bonne,False,43,61.7,,,4.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lnr_1845,1845,hugo-auradou,https://cdn.lnr.fr/joueur/1845-hugo-auradou/photo/photoFull.bf4a801945c52387138b3325d9dd3bcf510292ab,Hugo Auradou,Pau,PAU,LOCK,2ème ligne,2023-2024,20,865.0,43.2,12.21,,,0.18,,,,0.37,0.09,,,0.0,,,,,lnr,,,,,96.7,16.0,0.0,0.0,59.3,58.9,1.0,95,8,5,63,42,0,,28.8,↗,5,"[32.1, 32.1, 47.8, 50.4, 11.8]",100,0.0,2ème Ligne,2L,100,Haute,False,Bonne,False,29,33.3,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1888,1888,nicolas-corato,https://cdn.lnr.fr/joueur/1888-nicolas-corato/photo/photoFull.bf7e6b3668f1d7c40821cbfca4c5f267bcf81dfe,Nicolas Corato,Pau,PAU,FRONT_ROW,1ère ligne,2023-2024,20,740.0,37.0,12.32,,,0.11,,,,0.0,0.11,,,0.0,,,,,lnr,26.0,184.0,123.0,France,88.2,13.0,94.35897435897436,96.09375,72.9,73.7,1.0,0,13,5,71,37,93,,58.5,↘,5,"[37.7, 100, 54.1, 48.6, 70.4]",100,2.0,1ère Ligne,1L,100,Haute,False,Moyenne,False,14,88.3,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1914,1914,sacha-zegueur,https://cdn.lnr.fr/joueur/1914-sacha-zegueur/photo/photoFull.bf4a801945c52387138b3325d9dd3bcf510292ab,Sacha Zegueur,Pau,PAU,BACK_ROW,3ème ligne,2023-2024,19,998.0,52.5,14.59,,,0.08,,,,0.24,0.64,,,0.8,,,,,lnr,24.0,192.0,105.0,France,96.3,17.0,98.46153846153848,82.03125,72.8,71.3,1.0,49,56,44,95,33,92,,41.4,↘,5,"[81.7, 81.7, 77.9, 26.0, 28.0]",100,0.5,3ème Ligne,3L,100,Haute,False,Bonne,False,14,71.9,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1917,1917,youri-delhommel,https://cdn.lnr.fr/joueur/1917-youri-delhommel/photo/photoFull.bf4a801945c52387138b3325d9dd3bcf510292ab,Youri Delhommel,Pau,PAU,FRONT_ROW,1ère ligne,2023-2024,18,653.0,36.3,9.92,,,0.49,,,,0.25,0.74,,,1.23,,,,,lnr,28.0,181.0,101.0,France,94.2,16.0,92.82051282051282,78.90625,77.5,76.1,1.0,95,88,51,39,60,80,,46.0,↘,5,"[58.6, 100, 43.2, 43.2, 47.8]",100,2.96,1ère Ligne,1L,100,Haute,False,Moyenne,False,10,91.9,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1887,1887,guram-papidze,https://cdn.lnr.fr/joueur/1887-guram-papidze/photo/photoFull.bf4a801945c52387138b3325d9dd3bcf510292ab,Guram Papidze,Pau,PAU,FRONT_ROW,1ère ligne,2023-2024,16,639.0,39.9,14.27,,,0.0,,,,0.0,0.13,,,0.0,,,,,lnr,26.0,187.0,122.0,Géorgie,96.5,9.0,95.8974358974359,95.3125,75.9,75.1,1.0,0,15,5,95,30,93,,49.9,↗,5,"[14.6, 76.1, 95.9, 68.7, 36.2]",100,2.0,1ère Ligne,1L,100,Haute,False,Moyenne,False,12,90.1,67.4,GEORG,8.0,cluster_0,55.5,50.2,50.0,90.5,70.3,55.3,73.2,0.0,1.5,0.0,0.125,0.125,1.0,0.0,0.25,4.5,0.125,1.0,0.0
lnr_1900,1900,fabrice-metz,https://cdn.lnr.fr/joueur/1900-fabrice-metz/photo/photoFull.55223152d2bdf719adae33c3f4ef18c348eed132,Fabrice Metz,Pau,PAU,LOCK,2ème ligne,2023-2024,15,644.0,42.9,13.04,,,0.25,,,,0.12,0.5,,,0.0,,,,,lnr,,,,,,,0.0,0.0,62.5,62.5,1.0,36,43,5,75,47,0,,50.0,→,0,[],100,0.0,2ème Ligne,2L,100,Haute,False,Moyenne,False,22,50.0,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1911,1911,lekima-vuda-tagitagivalu,https://cdn.lnr.fr/joueur/1911-lekima-vuda-tagitagivalu/photo/photoFull.d27019f52768bff9ad76599574dced3c5044bc4f,L. Tagitagivalu,Pau,PAU,LOCK,2ème ligne,2023-2024,15,714.0,47.6,13.78,,,0.11,,,,0.0,0.9,,,0.0,,,,,lnr,28.0,195.0,110.0,Fidji,64.6,15.0,100.0,85.9375,77.6,76.0,1.0,0,78,5,87,37,96,,44.1,↘,5,"[85.8, 49.3, 43.5, 28.7, 62.2]",100,2.96,2ème Ligne,2L,100,Haute,False,Moyenne,False,2,97.6,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1891,1891,romain-ruffenach,https://cdn.lnr.fr/joueur/1891-romain-ruffenach/photo/photoFull.66c8481f41dae2c760111c9de7f76f50fdc806b3,Romain Ruffenach,Pau,PAU,FRONT_ROW,1ère ligne,2023-2024,11,353.0,32.1,11.56,,,0.45,,,,0.0,0.23,,,0.0,,,,,lnr,,,,,,,0.0,0.0,61.0,62.9,0.794,0,27,5,61,57,0,,50.0,→,0,[],100,0.0,1ère Ligne,1L,79,Haute,False,Basse,False,88,21.6,,,,,,,,,,,,0.0,,,,,,,,,,,
