player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,season,matches_played,minutes_total,minutes_avg,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,age,height_cm,weight_kg,nationality,_h_global_norm,_w_global_norm,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_pow,axis_gabarit,kick_points_per80,form_score,form_trend,form_matches,form_scores_list,axis_disc,age_factor,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,intl_bonus
lnr_669,669,sebastien-bezy,https://cdn.lnr.fr/joueur/669-sebastien-bezy/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,S. Bezy,Clermont,CLR,SCRUM_HALF,Demi de mêlée,2024-2025,25,936.0,37.4,7.09,,,0.26,,,,0.34,0.68,,,0.85,,,,,lnr,33.0,174.0,76.0,France,89.23076923076924,57.57575757575758,71.1,68.0,1.0,53,49,10,59,46,84,0.85,25.1,↘,5,"[100, 50.4, 58.8, 9.8, 0]",100,0.5,Demi de mêlée,9,100,Haute,False,Bonne,False,10,62.5,68.2,France,8,cluster_1,52.1,60.8,50.0,80.4,97.6,50.7,95.1,0.0
lnr_921,921,regis-montagne,https://cdn.lnr.fr/joueur/921-regis-montagne/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Régis Montagne,Clermont,CLR,FRONT_ROW,1ère ligne,2024-2025,22,839.0,38.1,11.16,,,0.19,,,,0.0,0.19,,,0.48,,,,,lnr,24.0,186.0,132.0,France,95.38461538461539,100.0,71.2,69.4,1.0,0,20,12,51,39,98,,36.5,↗,5,"[41.4, 28.2, 30.3, 42.9, 50.8]",100,0.5,1ère Ligne,1L,100,Haute,False,Bonne,False,62,51.6,,,,,,,,,,,,0.0
lnr_862,862,barnabe-massa,https://cdn.lnr.fr/joueur/862-barnabe-massa/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,B. Massa,Clermont,CLR,FRONT_ROW,1ère ligne,2024-2025,20,710.0,35.5,13.07,,,0.56,,,,0.11,0.11,,,3.38,,,,,lnr,20.0,180.0,101.0,France,92.3076923076923,76.51515151515152,75.6,74.0,1.0,27,12,84,70,56,79,,47.8,↘,5,"[46.2, 64.2, 42.3, 36.2, 74.5]",100,-1.25,1ère Ligne,1L,100,Haute,False,Moyenne,False,28,78.6,,,,,,,,,,,,0.0
lnr_184,184,giorgi-akhaladze,https://cdn.lnr.fr/joueur/184-giorgi-akhaladze/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Giorgi Akhaladze,Clermont,CLR,FRONT_ROW,1ère ligne,2024-2025,19,822.0,43.3,10.41,,,0.0,,,,0.19,0.29,,,0.97,,,,,lnr,26.0,186.0,128.0,Géorgie,95.38461538461539,96.96969696969697,70.1,68.2,1.0,47,31,24,43,30,96,,30.8,↘,5,"[18.3, 78.4, 23.6, 18.3, 40.4]",100,2.0,1ère Ligne,1L,100,Haute,False,Bonne,False,66,48.4,,,,,,,,,,,,0.0
lnr_2195,2195,anthime-hemery,https://cdn.lnr.fr/joueur/2195-anthime-hemery/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Anthime Hemery,Clermont,CLR,BACK_ROW,3ème ligne,2024-2025,17,547.0,32.2,11.85,,,0.15,,,,0.0,0.59,,,1.46,,,,,lnr,24.0,189.0,110.0,France,96.92307692307692,83.33333333333334,63.1,64.5,0.75,0,40,37,42,36,94,,36.8,↘,5,"[69.5, 43.5, 39.1, 38.8, 38.3]",100,0.5,3ème Ligne,3L,75,Haute,False,Moyenne,False,31,42.5,,,,,,,,,,,,0.0
lnr_657,657,etienne-fourcade,https://cdn.lnr.fr/joueur/657-etienne-fourcade/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Etienne Fourcade,Clermont,CLR,FRONT_ROW,1ère ligne,2024-2025,16,668.0,41.8,9.58,,,0.24,,,,0.36,0.24,,,2.99,,,,,lnr,28.0,180.0,103.0,France,92.3076923076923,78.03030303030303,70.8,69.6,1.0,89,26,74,35,41,80,,36.1,↗,5,"[45.4, 19.9, 54.3, 43.2, 39.3]",100,2.96,1ère Ligne,1L,100,Haute,False,Moyenne,False,59,53.6,,,,,,,,,,,,0.0
lnr_667,667,etienne-falgoux,https://cdn.lnr.fr/joueur/667-etienne-falgoux/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Etienne Falgoux,Clermont,CLR,FRONT_ROW,1ère ligne,2024-2025,15,685.0,45.7,7.71,,,0.12,,,,0.0,0.0,,,0.58,,,,,lnr,32.0,183.0,105.0,France,93.84615384615384,79.54545454545455,59.4,58.9,1.0,0,0,14,16,36,82,,25.6,↘,5,"[50.4, 14.1, 14.7, 23.6, 37.7]",100,1.26,1ère Ligne,1L,100,Haute,False,Moyenne,False,119,6.3,,,,,,,,,,,,0.0
lnr_2444,2444,lucas-tauzin,https://cdn.lnr.fr/joueur/2444-lucas-tauzin/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Lucas Tauzin,Clermont,CLR,WINGER,Ailier,2024-2025,15,934.0,62.3,4.2,,,0.0,,,,0.77,0.6,,,2.14,,,,,lnr,26.0,187.0,94.0,France,95.8974358974359,71.21212121212122,69.1,67.2,1.0,55,38,50,27,30,90,2.14,29.7,↗,5,"[3.3, 0, 13.1, 95.4, 18.3]",100,2.0,Ailier,AIL,100,Haute,False,Bonne,False,11,58.3,,,,,,,,,,,,0.0
lnr_709,709,george-moala,https://cdn.lnr.fr/joueur/709-george-moala/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,George Moala,Clermont,CLR,CENTRE,Centre,2024-2025,14,703.0,50.2,6.49,,,0.23,,,,0.34,0.57,,,2.84,,,,,lnr,34.0,188.0,99.0,Nouvelle Zélande,96.41025641025641,75.0,66.1,61.8,1.0,31,47,100,45,40,90,,7.6,↘,4,"[21.6, 12.4, 9.8, 0]",100,-0.16,Centre,CTR,100,Haute,False,Moyenne,False,27,35.0,,,,,,,,,,,,0.0
lnr_2456,2456,pierre-fouyssac,https://cdn.lnr.fr/joueur/2456-pierre-fouyssac/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Pierre Fouyssac,Clermont,CLR,WINGER,Ailier,2024-2025,13,558.0,42.9,7.31,,,0.29,,,,0.72,0.43,,,3.58,,,,,lnr,30.0,189.0,101.0,France,96.92307692307692,76.51515151515152,75.4,72.4,0.75,52,28,84,70,54,95,3.58,34.3,↘,4,"[57.8, 39.3, 33.3, 36.3]",100,2.61,Ailier,AIL,75,Haute,False,Moyenne,False,6,79.2,,,,,,,,,,,,0.0
