player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,season,matches_played,minutes_total,minutes_avg,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,age,height_cm,weight_kg,nationality,_h_global_norm,_w_global_norm,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_pow,axis_gabarit,kick_points_per80,form_score,form_trend,form_matches,form_scores_list,axis_disc,age_factor,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,intl_bonus,meters_run_intl,clean_breaks_intl,defenders_beaten_intl,passes_intl,runs_intl,lineouts_won_intl,missed_tackles_intl,tackles_intl,turnovers_conceded_intl,penalties_conceded_intl,offloads_intl
lnr_694,694,cristian-ojovan,https://cdn.lnr.fr/joueur/694-cristian-ojovan/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,C. Ojovan,Clermont,CLR,FRONT_ROW,1ère ligne,2020-2021,20,755.0,37.8,8.26,,,0.0,,,,0.0,0.11,,,0.0,,,,,lnr,24.0,183.0,120.0,Moldavie,93.53437260414006,96.0,62.6,62.6,1.0,0,11,0,30,30,93,,36.9,↘,5,"[57.5, 33.6, 46.9, 30.9, 46.9]",100,0.5,1ère Ligne,1L,100,Haute,False,Moyenne,False,53,23.5,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_311,311,sipili-falatea,https://cdn.lnr.fr/joueur/311-sipili-falatea/photo/photoFull.9db3e1c64b0fa647759e691550b9e8351884f243,Sipili Falatea,Clermont,CLR,FRONT_ROW,1ère ligne,2020-2021,18,673.0,37.4,6.18,,,0.12,,,,0.12,0.48,,,0.59,,,,,lnr,23.0,183.0,115.0,France,93.53437260414006,92.0,61.5,62.4,1.0,34,48,22,8,36,90,,43.3,↗,5,"[36.2, 62.1, 91.1, 27.3, 44.7]",100,-0.16,1ère Ligne,1L,100,Haute,False,Moyenne,False,54,22.1,68.6,France,11.0,cluster_1,71.7,70.1,50.0,85.1,61.6,69.2,81.5,0.0,7.0,0.0,0.364,0.545,2.273,0.0,0.545,3.545,0.364,1.091,0.182
lnr_663,663,alexandre-fischer,https://cdn.lnr.fr/joueur/663-alexandre-fischer/photo/photoFull.1d6a32f7ce4a12d423552fb50b73687ec52ba345,A. Fischer,Clermont,CLR,BACK_ROW,3ème ligne,2020-2021,18,820.0,45.6,14.05,,,0.98,,,,0.0,0.39,,,0.0,,,,,lnr,23.0,188.0,107.0,France,96.08995655507285,85.6,86.7,81.2,1.0,0,30,0,98,70,93,,32.1,↘,5,"[26.2, 59.9, 31.4, 52.3, 21.6]",100,-0.16,3ème Ligne,3L,100,Haute,False,Bonne,False,1,100.0,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_707,707,cheikh-saliou-tiberghien,https://cdn.lnr.fr/joueur/707-cheikh-saliou-tiberghien/photo/photoFull.1d6a32f7ce4a12d423552fb50b73687ec52ba345,C. Tiberghien,Clermont,CLR,FULLBACK,Arrière,2020-2021,15,607.0,40.5,2.11,,,0.13,,,,0.4,0.66,,,1.32,,,,,lnr,,,,,0.0,0.0,57.7,55.0,1.0,26,59,22,1,43,0,1.32,6.8,↗,5,"[0, 0, 6.2, 11.4, 6.3]",100,0.0,Arrière,ARR,100,Haute,False,Moyenne,False,10,10.0,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1781,1781,sitaleki-timani,https://cdn.lnr.fr/joueur/1781-sitaleki-timani/photo/photoFull.1f75a2a9ddd89799fc877d5c192b6ffeb86f7691,S. Timani,Clermont,CLR,LOCK,2ème ligne,2020-2021,15,834.0,55.6,7.87,,,0.19,,,,0.1,0.0,,,0.0,,,,,lnr,,,,,0.0,0.0,47.2,47.2,1.0,19,0,0,9,40,0,,50.0,→,0,[],100,0.0,2ème Ligne,2L,100,Haute,False,Bonne,False,34,2.9,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_711,711,thibaud-lanen,https://cdn.lnr.fr/joueur/711-thibaud-lanen/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Thibaud Lanen,Clermont,CLR,LOCK,2ème ligne,2020-2021,13,519.0,39.9,10.17,,,0.46,,,,0.31,0.15,,,1.54,,,,,lnr,23.0,198.0,109.0,France,100.0,87.2,70.7,71.4,0.75,58,14,58,31,55,98,,58.9,↘,5,"[24.7, 100, 70.1, 65.3, 63.3]",100,-0.16,2ème Ligne,2L,75,Haute,False,Moyenne,False,6,85.3,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_693,693,jacobus-van-tonder,https://cdn.lnr.fr/joueur/693-jacobus-van-tonder/photo/photoFull.746d583d9f8a2aa9c322b15ebadc8acc096151d2,J. Van Tonder,Clermont,CLR,LOCK,2ème ligne,2020-2021,13,692.0,53.2,8.09,,,0.69,,,,0.35,0.12,,,0.58,,,,,lnr,23.0,197.0,118.0,Afrique du Sud,100.0,94.4,69.5,69.0,1.0,66,11,22,11,67,98,,45.3,↘,5,"[80.0, 77.2, 51.7, 43.9, 43.5]",100,-0.16,2ème Ligne,2L,100,Haute,False,Moyenne,False,8,79.4,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_708,708,daniel-bibi-biziwu,https://cdn.lnr.fr/joueur/708-daniel-bibi-biziwu/photo/photoFull.b948a9307d0771aeee5c40d614c45938eb2eb700,D. Bibi Biziwu,Clermont,CLR,FRONT_ROW,1ère ligne,2020-2021,12,248.0,20.7,10.0,,,0.32,,,,0.0,0.0,,,0.0,,,,,lnr,19.0,183.0,119.0,France,93.53437260414006,95.2,68.5,66.8,0.6,0,0,0,49,45,92,,36.0,↘,5,"[29.8, 65.3, 12.9, 72.6, 26.8]",100,-1.38,1ère Ligne,1L,60,Moyenne,True,Basse,False,40,42.6,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_662,662,giorgi-beria,https://cdn.lnr.fr/joueur/662-giorgi-beria/photo/photoFull.746d583d9f8a2aa9c322b15ebadc8acc096151d2,Giorgi Beria,Clermont,CLR,FRONT_ROW,1ère ligne,2020-2021,11,286.0,26.0,11.47,,,0.28,,,,0.0,0.0,,,0.0,,,,,lnr,21.0,175.0,108.0,France,89.44543828264759,86.4,70.4,70.3,0.6,0,0,0,65,43,85,,55.9,↗,5,"[77.7, 30.3, 96.8, 100, 27.6]",100,-1.03,1ère Ligne,1L,60,Moyenne,True,Basse,False,25,64.0,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_690,690,arthur-iturria,https://cdn.lnr.fr/joueur/690-arthur-iturria/photo/photoFull.1d6a32f7ce4a12d423552fb50b73687ec52ba345,Arthur Iturria,Clermont,CLR,LOCK,2ème ligne,2020-2021,11,726.0,66.0,9.04,,,0.22,,,,0.33,0.22,,,0.55,,,,,lnr,26.0,198.0,112.0,France,100.0,89.60000000000001,66.9,66.2,1.0,62,20,21,20,42,98,,35.8,↗,5,"[27.9, 36.7, 41.2, 39.1, 46.2]",100,2.0,2ème Ligne,2L,100,Haute,False,Moyenne,False,15,58.8,70.8,France,17.0,cluster_1,70.8,68.7,50.0,85.8,68.3,68.1,90.2,0.0,9.353,0.412,0.412,0.882,4.118,0.0,1.059,7.706,0.588,0.647,0.235
lnr_336,336,tani-vili,https://cdn.lnr.fr/joueur/336-tani-vili/photo/photoFull.0d105085f705532550693973c5545a1d4e020463,Tani Vili,Clermont,CLR,CENTRE,Centre,2020-2021,11,325.0,29.5,4.18,,,0.25,,,,0.98,0.49,,,1.23,,,,,lnr,20.0,187.0,109.0,France,95.5788397648863,87.2,74.8,69.9,0.75,100,46,32,22,47,97,,29.5,↗,5,"[28.8, 30.1, 47.8, 36.7, 25.3]",100,-1.25,Centre,CTR,75,Haute,False,Basse,False,4,87.0,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_667,667,etienne-falgoux,https://cdn.lnr.fr/joueur/667-etienne-falgoux/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Etienne Falgoux,Clermont,CLR,FRONT_ROW,1ère ligne,2020-2021,10,507.0,50.7,6.47,,,0.0,,,,0.0,0.16,,,0.0,,,,,lnr,28.0,183.0,105.0,France,93.53437260414006,84.0,59.6,62.1,0.75,0,16,0,11,30,84,,25.6,↘,5,"[50.4, 14.1, 14.7, 23.6, 37.7]",100,2.96,1ère Ligne,1L,75,Haute,False,Moyenne,False,55,20.6,,,3.0,,,,,,,,,0.0,1.667,0.0,0.0,0.333,1.0,0.0,0.333,10.0,0.333,0.0,0.333
lnr_677,677,yohan-beheregaray,https://cdn.lnr.fr/joueur/677-yohan-beheregaray/photo/photoFull.df70eb994b7734bdf40e01b850e18c98079124f9,Y. Beheregaray,Clermont,CLR,FRONT_ROW,1ère ligne,2020-2021,5,98.0,19.6,13.06,,,0.82,,,,0.0,0.0,,,0.0,,,,,lnr,,,,,0.0,0.0,70.6,70.3,0.5,0,0,0,82,69,0,,50.0,→,0,[],100,0.0,1ère Ligne,1L,50,Basse,True,Basse,True,25,64.0,,,,,,,,,,,,0.0,,,,,,,,,,,
