player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,season,matches_played,minutes_total,minutes_avg,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,age,height_cm,weight_kg,nationality,_h_global_norm,_w_global_norm,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_pow,axis_gabarit,kick_points_per80,form_score,form_trend,form_matches,form_scores_list,axis_disc,age_factor,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,intl_bonus,meters_run_intl,clean_breaks_intl,defenders_beaten_intl,passes_intl,runs_intl,lineouts_won_intl,missed_tackles_intl,tackles_intl,turnovers_conceded_intl,penalties_conceded_intl,offloads_intl
lnr_1077,1077,arno-botha,https://cdn.lnr.fr/joueur/1077-arno-botha/photo/photoFull.8e39a4ffde2d58962f9632bb5639326c8c077ac5,Arno Botha,Lyon,LOU,BACK_ROW,3ème ligne,2022-2023,17,987.0,58.1,9.16,,,0.49,,,,0.41,1.38,,,1.22,,,,,lnr,31.0,190.0,108.0,Afrique du Sud,96.93877551020408,85.03937007874016,74.2,74.9,1.0,60,99,65,35,44,93,,59.1,↗,5,"[82.5, 81.0, 68.7, 90.0, 47.8]",100,2.0,3ème Ligne,3L,100,Haute,False,Bonne,False,5,91.1,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1107,1107,hamza-kaabeche,https://cdn.lnr.fr/joueur/1107-hamza-kaabeche/photo/photoFull.8e39a4ffde2d58962f9632bb5639326c8c077ac5,Hamza Kaabeche,Lyon,LOU,FRONT_ROW,1ère ligne,2022-2023,15,599.0,39.9,9.35,,,0.53,,,,0.0,0.8,,,0.0,,,,,lnr,26.0,189.0,114.0,France,96.42857142857144,89.76377952755905,74.3,72.0,0.75,0,63,0,45,46,88,,38.9,→,5,"[24.7, 59.2, 51.8, 27.6, 52.4]",100,2.0,1ère Ligne,1L,75,Haute,False,Moyenne,False,21,76.9,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1075,1075,joel-kpoku,https://cdn.lnr.fr/joueur/1075-joel-kpoku/photo/photoFull.bf4a801945c52387138b3325d9dd3bcf510292ab,Joel Kpoku,Lyon,LOU,LOCK,2ème ligne,2022-2023,15,680.0,45.3,9.65,,,0.12,,,,0.24,0.24,,,0.59,,,,,lnr,23.0,196.0,114.0,Angleterre,100.0,89.76377952755905,68.7,70.4,1.0,99,18,45,41,36,98,,62.3,→,3,"[65.3, 32.8, 100]",100,-0.16,2ème Ligne,2L,100,Haute,False,Moyenne,False,12,71.1,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1093,1093,romain-taofifenua,https://cdn.lnr.fr/joueur/1093-romain-taofifenua/photo/photoFull.8b942e992ebb42fdd1ca819c8cb833427c776cef,R. Taofifenua,Lyon,LOU,LOCK,2ème ligne,2022-2023,15,923.0,61.5,6.76,,,0.35,,,,0.0,1.04,,,0.87,,,,,lnr,32.0,,138.0,France,0.0,100.0,52.8,54.2,1.0,0,79,67,1,47,15,,30.6,→,5,"[36.8, 36.2, 20.3, 23.1, 47.8]",100,1.26,2ème Ligne,2L,100,Haute,False,Bonne,False,35,10.5,73.1,France,35.0,cluster_1,66.2,74.1,50.0,90.6,69.4,62.7,85.2,0.0,5.229,0.029,0.229,1.457,3.143,0.0,0.343,5.171,0.4,0.457,0.286
lnr_1074,1074,josiah-meihana-maraku,https://cdn.lnr.fr/joueur/1074-josiah-meihana-maraku/photo/photoFull.8e39a4ffde2d58962f9632bb5639326c8c077ac5,J. Maraku,Lyon,LOU,CENTRE,Centre,2022-2023,14,919.0,65.6,5.4,,,0.0,,,,0.7,0.61,,,2.61,,,,,lnr,23.0,180.0,97.0,Nouvelle Zélande,91.83673469387756,76.37795275590551,69.7,67.5,1.0,81,46,91,32,30,89,,31.1,↘,5,"[39.9, 79.0, 27.5, 42.9, 16.7]",100,-0.16,Centre,CTR,100,Haute,False,Bonne,False,12,68.6,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1101,1101,thibaut-regard,https://cdn.lnr.fr/joueur/1101-thibaut-regard/photo/photoFull.8e39a4ffde2d58962f9632bb5639326c8c077ac5,Thibaut Regard,Lyon,LOU,CENTRE,Centre,2022-2023,14,925.0,66.1,4.15,,,0.0,,,,0.61,0.69,,,1.73,,,,,lnr,29.0,180.0,95.0,France,91.83673469387756,74.80314960629921,69.6,67.9,1.0,70,52,61,12,30,88,,30.5,↗,4,"[1.6, 48.6, 27.5, 43.2]",100,2.96,Centre,CTR,100,Haute,False,Bonne,False,11,71.4,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1103,1103,patrick-sobela,https://cdn.lnr.fr/joueur/1103-patrick-sobela/photo/photoFull.746d583d9f8a2aa9c322b15ebadc8acc096151d2,Patrick Sobela,Lyon,LOU,BACK_ROW,3ème ligne,2022-2023,13,621.0,47.8,13.14,,,0.39,,,,0.26,1.03,,,0.64,,,,,lnr,,,,,0.0,0.0,70.8,70.8,1.0,38,74,34,83,41,0,,50.0,→,0,[],100,0.0,3ème Ligne,3L,100,Haute,False,Moyenne,False,14,71.1,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1079,1079,demba-bamba,https://cdn.lnr.fr/joueur/1079-demba-bamba/photo/photoFull.8b942e992ebb42fdd1ca819c8cb833427c776cef,Demba Bamba,Lyon,LOU,FRONT_ROW,1ère ligne,2022-2023,12,668.0,55.7,9.34,,,0.12,,,,0.0,0.12,,,0.0,,,,,lnr,25.0,185.0,125.0,France,94.3877551020408,98.4251968503937,67.8,69.8,1.0,0,9,0,45,34,95,,60.5,↗,5,"[52.9, 65.6, 79.4, 64.2, 77.9]",100,1.26,1ère Ligne,1L,100,Haute,False,Moyenne,False,38,58.8,73.9,France,25.0,cluster_1,100.0,78.2,50.0,85.5,58.7,81.7,88.4,0.0,6.08,0.0,1.24,0.76,4.44,0.0,0.76,3.96,0.48,0.92,0.24
lnr_1034,1034,davit-niniashvili,https://cdn.lnr.fr/joueur/1034-davit-niniashvili/photo/photoFull.7cb6d3e8fb1a9ef473f9440830017cd30be5f626,D. Niniashvili,Lyon,LOU,FULLBACK,Arrière,2022-2023,12,847.0,70.6,3.21,,,0.28,,,,1.13,2.36,,,3.59,,,,,lnr,,,,,0.0,0.0,73.2,70.7,1.0,54,83,63,12,70,0,3.59,28.0,→,5,"[10.5, 38.6, 55.0, 26.8, 24.9]",100,0.0,Arrière,ARR,100,Haute,False,Bonne,False,2,92.9,83.0,GEORG,20.0,cluster_0,92.7,90.4,51.1,90.3,71.1,93.4,79.6,0.8,,,,,,,,,,,
lnr_1122,1122,theo-william,https://cdn.lnr.fr/joueur/1122-theo-william/photo/photoFull.eff1aa9b4a9f2b351be13ae3eed38b31d19c422e,Theo William,Lyon,LOU,BACK_ROW,3ème ligne,2022-2023,12,666.0,55.5,11.89,,,0.24,,,,0.12,0.12,,,0.0,,,,,lnr,,,,,0.0,0.0,59.7,62.4,1.0,18,9,0,68,37,0,,55.7,↘,5,"[85.2, 59.1, 53.0, 72.6, 62.9]",100,0.0,3ème Ligne,3L,100,Haute,False,Moyenne,False,38,17.8,,,,,,,,,,,,0.0,,,,,,,,,,,
