player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,season,matches_played,minutes_total,minutes_avg,yellow_cards,orange_cards,red_cards,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,tries_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,age,height_cm,weight_kg,nationality,axis_consistency,n_matches_consistency,_h_global_norm,_w_global_norm,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_pow,axis_gabarit,kick_points_per80,form_score,form_trend,form_matches,form_scores_list,form_score_10,form_trend_10,form_matches_10,axis_disc,age_factor,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,intl_bonus
lnr_1749,1749,noa-isaac-kanika-bilonda,https://cdn.lnr.fr/joueur/1749-noa-isaac-kanika-bilonda/photo/photoFull.7260593a1939529b8f58882fcd9327e3deee5c0d,N. Kanika-bilonda,Montauban,MTB,LOCK,2ème ligne,2025-2026,16,730.0,45.6,0,0,0,7.56,,,0.0,,,,0.0,0.0,,,0.55,0.11,,,,,lnr,24.0,194.0,114.0,France,92.6,16.0,98.9795918367347,87.6923076923077,48.5,50.5,1.0,0,0,32,0,19,92,,30.0,→,5,"[37.1, 20.4, 73.1, 15.0, 30.8]",31.6,→,10,100,0.5,2ème Ligne,2L,100,Haute,False,Moyenne,False,66,5.8,,,,,,,,,,,,0.0
lnr_239,239,nafitalai-owen-maafu,https://cdn.lnr.fr/joueur/239-nafitalai-owen-maafu/photo/photoFull.28a7076c5091624b9d043c9f795307457230f77f,N. Maafu,Montauban,MTB,LOCK,2ème ligne,2025-2026,16,827.0,51.7,0,1,0,10.06,,,0.1,,,,0.1,0.58,,,0.0,0.0,,,,,lnr,27.0,,110.0,Etats-Unis,47.7,17.0,0.0,84.61538461538461,53.1,55.8,1.0,36,49,5,36,7,8,,45.2,↘,5,"[51.7, 57.8, 35.0, 28.5, 68.4]",47.2,↘,10,70,2.61,2ème Ligne,2L,100,Haute,False,Bonne,False,56,20.3,,,,,,,,,,,,0.0
lnr_12373,12373,joseph-patrick-powell,https://cdn.lnr.fr/joueur/12373-joseph-patrick-powell/photo/photoFull.7260593a1939529b8f58882fcd9327e3deee5c0d,J. Powell,Montauban,MTB,SCRUM_HALF,Demi de mêlée,2025-2026,16,720.0,45.0,0,0,0,8.44,,,0.22,,,,0.11,0.22,,,0.0,0.0,,,,,lnr,32.0,178.0,80.0,Irlande,96.2,15.0,90.81632653061224,61.53846153846154,60.7,61.7,1.0,11,0,5,95,30,73,0.0,40.5,↗,5,"[49.9, 21.7, 22.2, 83.1, 35.6]",40.7,↗,10,100,1.26,Demi de mêlée,9,100,Haute,False,Moyenne,False,23,45.0,66.4,Australie,8,cluster_1,51.3,52.0,50.0,96.4,97.6,50.0,92.9,0.0
lnr_2713,2713,thomas-bue,https://cdn.lnr.fr/joueur/2713-thomas-bue/photo/photoFull.7260593a1939529b8f58882fcd9327e3deee5c0d,Thomas Bue,Montauban,MTB,FRONT_ROW,1ère ligne,2025-2026,15,781.0,52.1,0,0,0,9.01,,,0.0,,,,0.0,0.31,,,0.51,0.1,,,,,lnr,23.0,181.0,123.0,France,92.5,16.0,92.3469387755102,94.61538461538461,57.5,56.5,1.0,0,35,18,26,11,71,,21.0,↘,5,"[99.3, 71.9, 1.9, 21.1, 2.1]",25.0,↘,10,100,-0.16,1ère Ligne,1L,100,Haute,False,Moyenne,False,140,10.8,,,,,,,,,,,,0.0
lnr_1284,1284,kyllian-ringuet,https://cdn.lnr.fr/joueur/1284-kyllian-ringuet/photo/photoFull.7260593a1939529b8f58882fcd9327e3deee5c0d,Kyllian Ringuet,Montauban,MTB,BACK_ROW,3ème ligne,2025-2026,15,996.0,66.4,0,0,0,14.86,,,0.16,,,,0.32,0.88,,,1.61,0.32,,,,,lnr,,,,,62.5,16.0,0.0,0.0,69.1,67.1,1.0,58,95,72,86,54,0,,31.8,↘,5,"[59.1, 67.2, 42.1, 30.9, 18.8]",37.8,↘,10,100,0.0,3ème Ligne,3L,100,Haute,False,Bonne,False,42,56.4,,,,,,,,,,,,0.0
lnr_1318,1318,tjiuee-uanivi,https://cdn.lnr.fr/joueur/1318-tjiuee-uanivi/photo/photoFull.28a7076c5091624b9d043c9f795307457230f77f,Tjiuee Uanivi,Montauban,MTB,LOCK,2ème ligne,2025-2026,15,829.0,55.3,0,0,0,6.47,,,0.19,,,,0.0,0.19,,,0.0,0.0,,,,,lnr,35.0,,99.0,Namibie,96.3,15.0,0.0,76.15384615384615,44.5,58.6,1.0,0,16,5,0,13,4,,15.1,↘,5,"[28.9, 29.8, 15.4, 21.1, 9.4]",18.0,↘,10,100,-0.67,2ème Ligne,2L,100,Haute,False,Bonne,False,67,4.3,69.0,NAMIB,15,cluster_0,54.6,53.9,50.0,84.0,92.6,56.1,63.5,0.0
lnr_2212,2212,john-thomas-jackson,https://cdn.lnr.fr/joueur/2212-john-thomas-jackson/photo/photoFull.7260593a1939529b8f58882fcd9327e3deee5c0d,J. Jackson,Montauban,MTB,CENTRE,Centre,2025-2026,14,893.0,63.8,0,0,0,5.29,,,0.0,,,,0.63,0.45,,,1.34,0.27,,,,,lnr,29.0,190.0,105.0,Afrique du Sud,4.9,14.0,96.93877551020408,80.76923076923077,66.7,63.9,1.0,61,34,34,37,23,94,,16.5,↘,5,"[47.0, 2.7, 13.6, 14.1, 24.2]",18.4,↘,10,100,2.96,Centre,CTR,100,Haute,False,Bonne,False,46,39.2,,,,,,,,,,,,0.0
lnr_10998,10998,facundo-pomponio,https://cdn.lnr.fr/joueur/10998-facundo-pomponio/photo/photoFull.4fad25dd8031cb5acc33df54f2c4151e7cc1c37a,Facundo Pomponio,Montauban,MTB,FRONT_ROW,1ère ligne,2025-2026,14,523.0,37.4,3,0,0,8.11,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,,,lnr,34.0,186.0,119.0,Argentine,92.2,14.0,94.89795918367348,91.53846153846153,46.0,47.9,0.936,0,0,5,15,0,69,,29.1,↗,5,"[18.1, 16.8, 89.3, 22.2, 20.9]",30.3,↗,10,40,-0.16,1ère Ligne,1L,94,Haute,False,Moyenne,False,157,0.6,,,,,,,,,,,,0.0
lnr_10149,10149,karl-wilkins,https://cdn.lnr.fr/joueur/10149-karl-wilkins/photo/photoFull.28a7076c5091624b9d043c9f795307457230f77f,Karl Wilkins,Montauban,MTB,LOCK,2ème ligne,2025-2026,14,685.0,48.9,1,0,0,10.39,,,0.58,,,,0.12,0.0,,,0.58,0.12,,,,,lnr,30.0,196.0,114.0,Angleterre,50.2,14.0,100.0,87.6923076923077,69.2,68.1,1.0,44,0,33,41,59,93,,38.8,↗,5,"[14.1, 16.6, 59.8, 73.3, 29.4]",42.8,↗,10,80,2.61,2ème Ligne,2L,100,Haute,False,Moyenne,False,19,73.9,,,,,,,,,,,,0.0
lnr_1334,1334,jerome-bosviel,https://cdn.lnr.fr/joueur/1334-jerome-bosviel/photo/photoFull.28a7076c5091624b9d043c9f795307457230f77f,J. Bosviel,Montauban,MTB,FLY_HALF,Demi d'ouverture,2025-2026,13,747.0,57.5,0,0,0,3.53,,,0.0,,,,0.32,1.07,,,9.53,0.11,,,,,lnr,36.0,183.0,96.0,France,54.6,14.0,93.36734693877551,73.84615384615385,63.4,60.5,1.0,32,85,91,29,16,77,8.979999999999999,16.7,↗,5,"[7.1, 10.1, 13.9, 31.7, 19.3]",16.4,↗,10,100,-1.03,Ouvreur,10,100,Haute,False,Moyenne,False,19,51.3,,,,,,,,,,,,0.0
