player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,season,matches_played,minutes_total,minutes_avg,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,age,height_cm,weight_kg,nationality,_h_global_norm,_w_global_norm,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_pow,axis_gabarit,kick_points_per80,form_score,form_trend,form_matches,form_scores_list,axis_disc,age_factor,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,intl_bonus
lnr_1990,1990,giorgi-tetrashvili,https://cdn.lnr.fr/joueur/1990-giorgi-tetrashvili/photo/photoFull.746d583d9f8a2aa9c322b15ebadc8acc096151d2,G. Tetrashvili,Perpignan,PER,FRONT_ROW,1ère ligne,2021-2022,7,312.0,44.6,6.67,,,0.0,,,,0.0,0.26,,,0.0,,,,,lnr,28.0,177.0,114.0,Géorgie,90.3061224489796,91.2,63.6,66.6,0.75,0,25,0,23,30,88,,43.6,↗,5,"[3.6, 3.6, 98.5, 73.2, 37.7]",100,2.96,1ère Ligne,1L,75,Haute,False,Basse,False,49,33.3,52.2,GEORG,7,cluster_0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,0.0
lnr_2022,2022,akato-fakatika,https://cdn.lnr.fr/joueur/2022-akato-fakatika/photo/photoFull.b817331ae7e7f540e8505004318a8073270e5d10,Akato Fakatika,Perpignan,PER,FRONT_ROW,1ère ligne,2021-2022,3,76.0,25.3,5.26,,,0.0,,,,0.0,0.0,,,0.0,,,,,lnr,,,,,0.0,0.0,43.1,57.8,0.5,0,0,0,7,30,0,,38.7,→,1,[44.3],100,0.0,1ère Ligne,1L,50,Basse,True,Basse,True,66,9.7,,,,,,,,,,,,0.0
lnr_239,239,nafitalai-owen-maafu,https://cdn.lnr.fr/joueur/239-nafitalai-owen-maafu/photo/photoFull.28a7076c5091624b9d043c9f795307457230f77f,N. Maafu,Perpignan,PER,LOCK,2ème ligne,2021-2022,3,87.0,29.0,7.36,,,0.0,,,,0.0,0.92,,,0.0,,,,,lnr,23.0,,110.0,Etats-Unis,0.0,88.0,51.0,61.3,0.5,0,65,0,24,30,13,,41.8,↘,5,"[77.9, 47.8, 50.4, 56.3, 34.2]",100,-0.16,2ème Ligne,2L,50,Basse,True,Basse,True,25,29.4,,,,,,,,,,,,0.0
lnr_2019,2019,alexandre-perez,https://cdn.lnr.fr/joueur/2019-alexandre-perez/photo/photoFull.1f75a2a9ddd89799fc877d5c192b6ffeb86f7691,A. Perez,Perpignan,PER,FLY_HALF,Demi d'ouverture,2021-2022,3,83.0,27.7,3.86,,,0.0,,,,0.0,0.0,,,0.0,,,,,lnr,,,,,0.0,0.0,46.4,58.2,0.5,0,0,0,31,30,0,0.0,50.0,→,0,[],100,0.0,Ouvreur,10,50,Basse,True,Basse,True,12,21.4,,,,,,,,,,,,0.0
lnr_2004,2004,edward-dratai-sawailau,https://cdn.lnr.fr/joueur/2004-edward-dratai-sawailau/photo/photoFull.c13853c24f9a438203d2dc57b45e48161a549ae5,E. Sawailau,Perpignan,PER,CENTRE,Centre,2021-2022,3,104.0,34.7,6.92,,,0.0,,,,0.77,0.0,,,3.85,,,,,lnr,,,,,0.0,0.0,61.9,65.9,0.5,74,0,100,65,30,0,,50.0,→,0,[],100,0.0,Centre,CTR,50,Basse,True,Basse,True,10,67.9,,,,,,,,,,,,0.0
lnr_894,894,julien-farnoux,https://cdn.lnr.fr/joueur/894-julien-farnoux/photo/photoFull.66c8481f41dae2c760111c9de7f76f50fdc806b3,Julien Farnoux,Perpignan,PER,FULLBACK,Arrière,2021-2022,2,108.0,54.0,5.19,,,0.74,,,,1.48,0.0,,,0.0,,,,,lnr,,,,,0.0,0.0,69.9,69.9,0.5,87,0,0,100,70,0,0.0,50.0,→,0,[],100,0.0,Arrière,ARR,50,Basse,True,Basse,True,1,100.0,,,,,,,,,,,,0.0
lnr_2017,2017,vakhtang-jintcharadze,https://cdn.lnr.fr/joueur/2017-vakhtang-jintcharadze/photo/photoFull.28a7076c5091624b9d043c9f795307457230f77f,V. Jintcharadze,Perpignan,PER,FRONT_ROW,1ère ligne,2021-2022,2,51.0,25.5,6.27,,,0.0,,,,0.0,0.0,,,0.0,,,,,lnr,22.0,187.0,116.0,Géorgie,95.40816326530613,92.80000000000001,57.7,66.7,0.5,0,0,0,18,30,91,,67.3,→,2,"[68.3, 87.1]",100,-0.67,1ère Ligne,1L,50,Basse,True,Basse,True,46,36.1,,,,,,,,,,,,0.0
lnr_327,327,yann-lesgourgues,https://cdn.lnr.fr/joueur/327-yann-lesgourgues/photo/photoFull.df70eb994b7734bdf40e01b850e18c98079124f9,Y. Lesgourgues,Bordeaux,BOR,SCRUM_HALF,Demi de mêlée,2021-2022,25,965.0,38.6,4.39,,,0.08,,,,0.5,0.99,,,1.24,,,,,lnr,,,,,0.0,0.0,72.5,72.5,1.0,96,87,14,12,40,0,1.24,50.0,→,0,[],100,0.0,Demi de mêlée,9,100,Haute,False,Bonne,False,9,60.0,,,,,,,,,,,,0.0
lnr_317,317,lekso-kaulashvili,https://cdn.lnr.fr/joueur/317-lekso-kaulashvili/photo/photoFull.bf4a801945c52387138b3325d9dd3bcf510292ab,L. Kaulashvili,Bordeaux,BOR,FRONT_ROW,1ère ligne,2021-2022,22,717.0,32.6,8.93,,,0.33,,,,0.0,0.0,,,0.0,,,,,lnr,29.0,185.0,132.0,Géorgie,94.38775510204081,100.0,72.9,70.6,1.0,0,0,0,47,42,99,,30.3,↗,5,"[28.0, 28.0, 39.4, 43.9, 28.0]",100,2.96,1ère Ligne,1L,100,Haute,False,Moyenne,False,30,59.7,,,,,,,,,,,,0.0
lnr_320,320,thomas-jolmes,https://cdn.lnr.fr/joueur/320-thomas-jolmes/photo/photoFull.bf4a801945c52387138b3325d9dd3bcf510292ab,Thomas Jolmes,Bordeaux,BOR,LOCK,2ème ligne,2021-2022,21,949.0,45.2,7.59,,,0.25,,,,0.17,0.51,,,0.0,,,,,lnr,26.0,,117.0,France,0.0,93.60000000000001,56.8,61.4,1.0,49,36,0,27,41,14,,63.1,↗,5,"[91.9, 36.7, 100, 100, 45.4]",100,2.0,2ème Ligne,2L,100,Haute,False,Bonne,False,23,33.8,,,,,,,,,,,,0.0
